Num_Acc,road_type,road_surface,infrastructure,situation,speed_limit,road_profile,road_layout
202400000359,3,1,0,1,50,1,1
202400000360,1,1,0,1,130,1,1
202400000361,3,1,0,1,70,2,1
202400000362,2,1,0,3,50,1,2
202400000363,3,1,0,3,90,2,1
202400000364,3,1,0,1,80,1,1
202400000365,2,2,0,1,90,2,2
202400000366,3,1,0,1,90,2,3
202400000367,3,1,0,1,50,1,1
202400000368,3,1,0,3,50,4,3
202400000369,3,1,0,1,90,1,2
202400000370,3,1,9,1,70,3,1
202400000371,3,2,0,1,80,1,1
202400000372,3,1,0,1,50,2,1
202400000373,3,1,0,1,90,1,1
202400000374,3,1,0,1,50,1,3
202400000375,3,1,5,3,80,1,2
202400000376,4,1,0,1,80,4,3
202400000377,4,1,0,1,50,1,1
202400000378,3,1,5,1,70,1,1
202400000379,3,1,0,1,80,2,3
202400000380,4,1,0,1,30,1,1
202400000381,3,1,0,3,80,1,3
202400000382,3,1,0,1,80,1,1
202400000383,3,1,0,3,80,1,3
202400000384,3,1,0,1,80,2,4
202400000385,3,1,0,1,50,1,1
202400000386,1,1,0,1,130,1,1
202400000387,1,1,0,1,130,1,1
202400000388,3,1,0,1,50,1,1
202400000389,3,1,0,1,50,1,1
202400000390,3,1,3,1,110,1,2
202400000391,7,1,0,1,70,1,1
202400000392,3,1,0,1,80,1,1
202400000393,3,1,0,3,80,1,1
202400000394,3,1,0,3,80,1,1
202400000395,4,1,0,1,70,3,4
202400000396,4,1,0,1,50,1,1
202400000397,3,1,0,3,-1,3,3
202400000398,3,1,0,3,90,3,2
202400000399,3,9,0,1,50,1,2
202400000400,2,1,5,1,70,1,1
202400000401,4,1,0,1,80,1,4
202400000402,3,1,0,1,70,1,1
202400000403,3,1,0,1,80,1,1
202400000404,4,1,0,1,50,1,1
202400000405,3,1,0,1,90,1,1
202400000406,4,1,0,3,50,1,4
202400000407,4,1,0,1,50,1,1
202400000408,4,1,0,8,50,4,1
202400000409,4,1,0,1,30,1,1
202400000410,3,1,0,3,80,1,3
202400000411,1,1,0,6,70,1,1
202400000412,1,1,0,1,110,1,1
202400000413,1,1,0,1,90,1,1
202400000414,2,1,1,1,70,1,1
202400000415,1,1,0,1,70,1,1
202400000416,1,1,0,1,50,1,1
202400000417,1,1,0,1,90,1,1
202400000418,1,1,3,1,70,1,3
202400000419,1,1,0,1,90,1,3
202400000420,1,1,2,1,130,2,1
202400000421,1,1,1,1,90,1,1
202400000422,1,1,0,1,110,1,1
202400000423,2,1,1,1,50,1,1
202400000424,1,1,0,1,90,1,1
202400000425,2,1,0,1,110,1,1
202400000426,1,1,0,1,90,2,1
202400000427,2,1,0,1,110,1,1
202400000428,2,1,0,1,90,1,1
202400000429,1,1,0,1,90,1,1
202400000430,1,1,3,1,50,1,1
202400000431,1,1,0,1,90,1,1
202400000432,1,3,1,1,70,1,1
202400000433,2,1,0,1,110,1,1
202400000434,2,1,0,1,90,1,1
202400000435,4,1,0,1,80,1,1
202400000436,1,1,1,1,90,1,1
202400000437,4,1,0,1,30,1,1
202400000438,1,1,0,1,110,1,1
202400000439,1,1,0,6,90,1,2
202400000440,1,1,0,1,110,1,1
202400000441,1,1,0,1,90,1,1
202400000442,1,1,0,1,90,1,1
202400000443,1,1,0,1,90,1,1
202400000444,1,1,0,1,90,1,1
202400000445,1,1,0,1,90,1,1
202400000446,4,1,0,1,50,1,1
202400000447,3,1,5,1,50,1,1
202400000448,3,1,0,1,80,1,1
202400000449,3,2,0,1,70,2,3
202400000450,4,1,0,1,50,1,1
202400000451,3,1,0,1,50,1,1
202400000452,1,1,0,1,110,1,1
202400000453,4,1,5,1,50,1,2
202400000454,2,1,0,1,50,1,2
202400000455,3,1,0,1,50,1,1
202400000456,4,1,0,1,50,3,1
202400000457,4,1,0,1,50,1,1
202400000458,4,1,0,1,50,1,1
202400000459,3,1,5,1,30,1,2
202400000460,4,1,0,1,30,1,3
202400000461,3,1,0,1,90,1,2
202400000462,3,1,0,6,110,1,1
202400000463,3,3,0,3,90,1,1
202400000464,4,1,0,1,50,1,2
202400000465,4,1,0,1,50,1,1
202400000466,4,1,0,1,30,1,3
202400000467,4,1,0,1,-1,1,1
202400000468,3,1,0,1,80,1,1
202400000469,3,1,0,1,110,1,1
202400000470,4,2,0,1,80,2,3
202400000471,4,1,0,1,30,1,1
202400000472,3,1,0,1,50,1,1
202400000473,4,1,6,1,30,1,1
202400000474,3,1,0,1,50,1,1
202400000475,4,1,0,1,50,1,1
202400000476,3,1,0,1,70,1,1
202400000477,3,1,2,4,50,1,1
202400000478,4,1,9,8,50,1,1
202400000479,4,1,0,1,50,1,1
202400000480,4,1,0,1,50,1,4
202400000481,4,1,9,5,10,1,1
202400000482,4,1,2,1,50,3,1
202400000483,4,1,0,1,50,1,1
202400000484,4,1,-1,1,30,1,1
202400000485,3,1,0,1,50,1,1
202400000486,4,1,0,4,50,1,1
202400000487,4,2,0,1,50,1,1
202400000488,4,1,0,1,-1,1,1
202400000489,3,2,0,1,50,1,1
202400000490,4,1,5,1,50,1,1
202400000491,7,1,0,1,50,1,1
202400000492,4,1,0,1,30,1,1
202400000493,4,1,0,1,30,1,1
202400000494,4,1,0,1,30,1,1
202400000495,4,1,0,1,30,1,1
202400000496,4,1,0,1,50,1,1
202400000497,4,1,0,1,50,1,3
202400000498,4,1,0,1,30,2,1
202400000499,4,1,0,1,50,1,1
202400000500,4,1,5,1,50,1,1
202400000501,3,1,2,1,50,1,1
202400000502,4,2,0,1,30,1,1
202400000503,3,1,0,1,50,1,3
202400000504,2,2,5,1,80,1,1
202400000505,4,1,0,1,20,2,1
202400000506,1,2,3,8,70,1,3
202400000507,4,1,0,4,6,1,1
202400000508,3,2,0,1,80,1,1
202400000509,4,1,0,1,30,1,1
202400000510,4,1,-1,1,30,1,1
202400000511,4,1,0,1,50,1,1
202400000512,4,1,0,1,50,2,1
202400000513,7,1,0,8,50,1,1
202400000514,4,1,9,5,30,1,1
202400000515,4,2,9,1,50,1,1
202400000516,4,1,0,4,50,1,1
202400000517,4,1,0,1,50,2,1
202400000518,4,1,0,1,50,1,1
202400000519,3,1,0,1,30,1,1
202400000520,4,2,1,1,50,1,3
202400000521,4,2,0,1,30,1,3
202400000522,4,1,9,1,30,2,2
202400000523,4,1,0,1,30,1,1
202400000524,4,1,0,1,30,1,1
202400000525,4,1,5,1,50,1,1
202400000526,4,1,0,1,30,2,1
202400000527,4,1,0,1,50,1,1
202400000528,4,2,0,1,30,1,1
202400000529,4,2,6,1,30,1,1
202400000530,4,1,0,1,30,1,1
202400000531,4,1,0,1,50,1,1
202400000532,3,1,0,1,30,1,1
202400000533,2,1,0,1,90,1,3
202400000534,4,2,0,1,30,1,1
202400000535,3,1,0,1,70,1,1
202400000536,4,1,0,1,50,1,1
202400000537,3,1,9,1,50,1,1
202400000538,4,1,0,1,50,1,1
202400000539,3,1,0,1,80,2,1
202400000540,4,1,0,1,50,2,1
202400000541,3,1,0,1,50,1,1
202400000542,3,1,0,1,-1,1,1
202400000543,3,1,0,1,-1,1,1
202400000544,4,1,5,1,50,1,1
202400000545,4,1,9,1,50,1,1
202400000546,3,1,0,3,80,2,2
202400000547,3,9,0,1,50,2,3
202400000548,3,2,0,1,70,2,1
202400000549,3,1,0,1,50,3,2
202400000550,3,1,5,1,80,1,1
202400000551,4,1,0,1,50,1,3
202400000552,3,2,0,1,50,1,1
202400000553,3,1,0,1,-1,1,3
202400000554,3,1,0,1,80,1,2
202400000555,3,2,0,1,50,2,2
202400000556,1,1,0,1,130,1,1
202400000557,2,1,0,1,110,1,1
202400000558,3,2,0,1,-1,3,3
202400000559,4,1,0,3,80,1,1
202400000560,3,1,0,1,80,2,3
202400000561,3,1,0,1,80,1,1
202400000562,3,1,0,1,80,1,1
202400000563,4,1,0,8,30,1,1
202400000564,2,2,0,1,70,1,1
202400000565,3,2,0,1,80,1,3
202400000566,4,1,0,1,30,2,1
202400000567,3,1,5,1,80,1,1
202400000568,3,1,0,3,90,1,1
202400000569,4,1,5,1,30,2,1
202400000570,4,1,0,1,30,1,1
202400000571,4,1,0,1,30,1,1
202400000572,4,1,0,1,50,1,1
202400000573,3,1,0,3,80,2,1
202400000574,3,1,0,1,50,1,1
202400000575,4,1,0,1,50,1,1
202400000576,3,2,0,3,90,2,1
202400000577,2,1,0,1,110,2,1
202400000578,4,1,0,1,50,1,1
202400000579,4,1,0,1,30,1,1
202400000580,3,1,0,8,80,1,1
202400000581,3,1,0,1,50,1,1
202400000582,4,1,0,1,50,2,1
202400000583,4,1,0,1,50,1,2
202400000584,3,1,0,1,50,1,1
202400000585,3,1,0,1,90,2,1
202400000586,4,1,0,1,30,1,1
202400000587,3,1,0,1,80,1,1
202400000588,3,1,0,1,80,2,1
202400000589,3,1,0,1,80,1,1
202400000590,3,1,0,1,50,1,1
202400000591,4,1,0,1,50,1,1
202400000592,4,1,9,5,30,1,1
202400000593,3,1,0,1,50,1,1
202400000594,4,1,0,1,50,1,1
202400000595,3,1,2,1,50,1,1
202400000596,4,1,2,1,50,2,3
202400000597,3,2,0,1,80,1,1
202400000598,3,1,5,1,80,1,1
202400000599,2,1,0,1,70,1,1
202400000600,3,1,0,3,80,1,2
202400000601,3,2,0,8,80,1,3
202400000602,3,1,0,1,-1,1,1
202400000603,3,8,0,1,90,2,3
202400000604,4,1,0,1,50,1,1
202400000605,3,1,9,3,80,1,1
202400000606,3,1,0,1,80,2,1
202400000607,3,1,0,3,80,1,1
202400000608,4,1,0,1,50,2,1
202400000609,3,1,0,3,80,1,3
202400000610,3,2,0,3,-1,1,1
202400000611,4,1,0,1,50,1,1
202400000612,3,1,0,3,80,1,1
202400000613,7,1,0,1,50,1,1
202400000614,4,1,0,1,40,1,1
202400000615,1,1,0,1,130,1,1
202400000616,4,2,0,1,50,1,1
202400000617,2,1,3,1,50,1,1
202400000618,4,1,0,1,50,1,1
202400000619,1,1,0,2,90,4,2
202400000620,1,2,3,1,110,1,1
202400000621,4,2,0,1,50,1,1
202400000622,3,1,0,1,50,1,3
202400000623,3,1,0,1,70,1,1
202400000624,1,1,2,1,50,2,3
202400000625,3,1,0,1,90,1,1
202400000626,2,1,0,1,80,1,1
202400000627,4,1,0,1,30,1,1
202400000628,4,1,0,3,90,1,1
202400000629,4,1,0,3,50,1,1
202400000630,4,1,0,3,50,1,1
202400000631,3,1,0,1,80,2,1
202400000632,4,1,0,1,50,1,1
202400000633,3,1,0,1,50,1,3
202400000634,3,1,0,1,90,1,1
202400000635,2,2,0,1,110,2,1
202400000636,3,2,0,1,80,1,1
202400000637,7,1,0,1,50,1,1
202400000638,3,1,5,1,50,2,1
202400000639,4,2,0,1,50,1,1
202400000640,7,2,0,1,50,2,1
202400000641,4,1,0,1,50,1,1
202400000642,3,1,0,4,50,1,1
202400000643,3,1,5,1,50,1,1
202400000644,3,2,0,1,80,1,1
202400000645,3,1,0,1,30,1,3
202400000646,3,2,0,3,90,1,1
202400000647,4,1,0,1,50,1,1
202400000648,4,1,5,1,50,1,1
202400000649,3,1,0,5,50,1,1
202400000650,4,1,0,1,50,1,1
202400000651,7,1,2,1,50,2,1
202400000652,1,1,0,8,110,1,1
202400000653,2,1,0,1,90,1,1
202400000654,1,1,0,1,110,1,1
202400000655,4,1,2,1,30,1,1
202400000656,1,1,0,1,90,1,1
202400000657,4,1,0,1,30,1,1
202400000658,4,1,0,1,50,1,2
202400000659,4,1,0,1,30,1,2
202400000660,4,2,0,1,50,1,2
202400000661,4,2,0,1,50,1,2
202400000662,2,1,0,4,30,1,1
202400000663,2,1,0,1,50,1,1
202400000664,4,2,0,5,30,1,1
202400000665,2,1,2,1,70,2,1
202400000666,4,1,5,1,50,1,1
202400000667,4,1,0,1,50,1,1
202400000668,4,1,0,1,50,1,1
202400000669,4,1,0,1,70,1,1
202400000670,4,1,0,1,30,1,1
202400000671,4,1,0,1,50,1,1
202400000672,4,1,0,1,30,1,1
202400000673,2,1,0,1,70,1,2
202400000674,4,1,0,1,50,1,1
202400000675,4,1,0,1,50,1,2
202400000676,4,1,4,6,50,1,1
202400000677,3,1,0,1,80,1,1
202400000678,4,1,0,1,50,1,1
202400000679,2,1,0,8,70,2,3
202400000680,2,1,0,1,70,2,1
202400000681,4,1,0,1,80,1,2
202400000682,4,1,0,1,50,1,1
202400000683,3,1,9,1,30,1,1
202400000684,4,1,0,8,50,2,1
202400000685,4,1,0,1,50,1,1
202400000686,4,1,5,1,50,1,1
202400000687,3,1,0,1,50,1,1
202400000688,4,1,5,1,30,1,2
202400000689,4,1,0,1,50,1,1
202400000690,4,2,0,1,50,2,1
202400000691,4,1,6,6,30,1,1
202400000692,2,2,5,1,50,1,1
202400000693,3,1,0,1,50,2,1
202400000694,4,1,0,1,50,1,1
202400000695,4,1,0,1,80,1,3
202400000696,6,1,0,8,30,1,1
202400000697,4,1,0,1,50,1,1
202400000698,3,1,0,1,50,1,1
202400000699,3,1,0,1,80,1,2
202400000700,4,1,0,1,70,1,1
202400000701,3,1,5,1,70,1,1
202400000702,4,1,0,1,70,1,1
202400000703,4,1,0,3,50,1,1
202400000704,4,1,0,1,30,1,1
202400000705,4,1,0,1,50,1,1
202400000706,4,1,8,1,50,1,1
202400000707,4,1,0,1,50,1,1
202400000708,4,1,0,1,50,1,1
202400000709,4,1,6,1,30,1,1
